"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG",filter,quote,"BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT_1","NAME_BASISWERT_2","NAME_BASISWERT_3","NAME_BASISWERT_4","NAME_BASISWERT_5",jahr,"GLIEDERUNG",id,region
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,8","4579","165","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","-88888888","0","0","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","28,7","14824","516","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,4","15835","521","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","29,4","10135","345","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,8","4913","165","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2006","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,7","3327","116","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2006","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,4","5706","194","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2006","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","30","4176","139","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,2","5900","209","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27","5464","202","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","29,5","10006","339","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,2","20389","653","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,1","15220","489","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,3","5203","184","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","29,7","27278","919","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30","14226","474","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,7","5518","186","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,6","2778","97","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,8","4757","171","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,5","8831","272","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,6","5910","187","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","28,9","11422","395","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,2","16553","531","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,4","246746","7855","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,2","8819","274","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,3","5004","177","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,3","9469","303","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,1","3431","118","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","29,3","7542","257","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,3","13926","445","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29","1451","50","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","26,4","4332","164","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,1","4597","158","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","28,5","18122","636","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,1","12722","422","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","29","13130","453","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,7","13410","437","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31","9441","305","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,5","9687","352","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","11","11 Milbertshofen -  Am Hart"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28","10649","381","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","-88888888","0","0","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,4","6264","229","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,8","4275","154","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,3","5176","183","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,5","4790","168","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,5","7831","257","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,2","368106","12182","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,2","11781","377","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","-88888888","0","0","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","99","99 nicht zuzuordnen"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","29,8","8560","287","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,5","10659","338","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","30,7","5860","191","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,2","7932","254","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28","2296","82","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","27,7","8112","293","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,6","3741","131","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,3","25949","855","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,3","11434","377","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,9","14449","468","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28","121360","4327","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","28,8","2962","103","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,1","19480","627","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,6","14165","435","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,9","10777","328","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,4","7853","250","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33","16068","487","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,6","305774","9388","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33,6","12012","357","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33","16939","514","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","31,6","6319","200","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","30,1","4188","139","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,3","6678","228","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","32,3","20484","635","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","12","12 Schwabing -  Freimann"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","31,6","7651","242","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","30,3","159713","5266","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","31,4","4119","131","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","30,1","7227","240","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","32","14965","467","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","30,4","14531","478","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","32,5","23719","729","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","31,8","465487","14654","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","33,1","16131","488","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Durchschnittsalter der Mütter","gesamt","32,1","24166","754","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, gesamt)","Anzahl aller Mütter (15 bis unter 45 Jahre, gesamt)","","","","2011","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,6","8155","258","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","32,3","6651","206","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33,2","25597","770","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","31,5","7077","225","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33","6698","203","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33,5","11472","342","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Durchschnittsalter der Mütter","Deutsche","33,7","16436","487","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, deutsch)","Anzahl aller Mütter (15 bis unter 45 Jahre, deutsch)","","","","2011","Stadtbezirk","4","04 Schwabing West"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","29,8","4616","155","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Durchschnittsalter der Mütter","Ausländerinnen","31","7403","239","","","","Summe der Altersangaben der Mütter (15 bis unter 45 Jahre, Ausländerinnen)","Anzahl aller Mütter (15 bis unter 45 Jahre, Ausländerinnen)","","","","2011","Stadtbezirk","15","15 Trudering - Riem"
